,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,tanimoto_Sim,tanimoto_Cmpd1_Sim,dice_Sim,dice_Cmpd1_Sim,RAScore_pred_proba,raw_valid_score,amean,filter,score_time
0,mol2mol,feature_selection,1,0,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1cn(CC(=O)OC)nc1C,true,1,true,0,0.285808931128174,0.0,4.640820000000004,477.9480000000003,34,453.75600000000026,7,0,8,7,4,0,4,83.19,0.0,0,C26H24ClN3O4,1454.6749971271931,2,0,0.5694444444444444,0.5694444444444444,0.7256637168141593,0.7256637168141593,0.3559587597846985,1,1.0,1.0,17.639635801315308
1,mol2mol,feature_selection,1,1,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1ccc(NC(C)=O)cc1,true,1,true,0,0.36440768455889627,0.0,5.921300000000004,458.9450000000002,33,435.76100000000025,4,1,6,6,4,0,4,68.17,0.0,0,C27H23ClN2O3,1407.753609720407,2,0,0.7457627118644068,0.7457627118644068,0.8543689320388349,0.8543689320388349,0.8633884787559509,1,1.0,1.0,17.639635801315308
2,mol2mol,feature_selection,1,2,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1ccc(OC(C)=O)cc1,true,1,true,0,0.2047522439884639,0.0,5.888200000000005,459.92900000000026,33,437.75300000000027,5,0,6,6,4,0,4,65.37,0.0,0,C27H22ClNO4,1406.5084972225704,2,0,0.7333333333333333,0.7333333333333333,0.8461538461538461,0.8461538461538461,0.8565905690193176,1,1.0,1.0,17.639635801315308
3,mol2mol,feature_selection,1,3,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2cc(OC)ccc2c(=O)n1Cc1ccc(S(C)(=O)=O)cc1,true,1,true,0,0.3613077805031276,0.0,4.721600000000004,475.56600000000026,34,450.3660000000002,6,0,7,7,4,0,4,82.44,0.0,0,C27H25NO5S,1536.5034271286384,2,0,0.6060606060606061,0.6060606060606061,0.7547169811320755,0.7547169811320755,0.921029806137085,1,1.0,1.0,17.639635801315308
4,mol2mol,feature_selection,1,4,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2ccccc2c(=O)n1Cc1ccc(C(N)=O)cc1,true,1,true,0,0.4781687408553528,0.0,4.408400000000004,410.4730000000002,31,388.29700000000014,4,1,5,6,4,0,4,82.16,0.0,0,C26H22N2O3,1337.2007540968907,2,0,0.6551724137931034,0.6551724137931034,0.7916666666666666,0.7916666666666666,0.9634285569190979,1,1.0,1.0,17.639635801315308
5,mol2mol,feature_selection,1,5,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1ccc(OC(F)F)nc1,true,1,true,0,0.31391447791380805,0.0,5.959300000000004,468.88700000000017,33,449.7350000000002,5,0,8,7,4,0,4,61.19,0.0,0,C25H19ClF2N2O3,1370.8039982083342,2,2,0.6470588235294118,0.6470588235294118,0.7857142857142857,0.7857142857142857,0.8260357975959778,1,1.0,1.0,17.639635801315308
6,mol2mol,feature_selection,1,6,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1ccc(N(C)C)nc1,true,1,true,0,0.37149618341475005,0.0,5.423900000000005,445.9500000000002,32,421.7580000000002,5,0,6,6,4,0,4,55.2,0.0,0,C26H24ClN3O2,1343.865780972734,2,0,0.6875,0.6875,0.8148148148148148,0.8148148148148148,0.8821732401847839,1,1.0,1.0,17.639635801315308
7,mol2mol,feature_selection,1,7,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1cn(C(=O)N2CCOCC2)nn1,true,1,true,0,0.3818752040690047,0.0,3.854700000000003,505.9620000000004,36,481.77000000000027,8,0,10,5,4,1,5,99.32000000000001,0.0,0,C26H24ClN5O4,1506.2956848984668,2,0,0.5540540540540541,0.5540540540540541,0.7130434782608696,0.7130434782608696,0.8986955881118774,1,1.0,1.0,17.639635801315308
8,mol2mol,feature_selection,1,8,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1cccc([N+](=O)[O-])c1,true,1,true,0,0.21046661705062242,0.0,5.871100000000005,446.8900000000002,32,427.7380000000002,5,0,7,6,4,0,4,82.21,0.0,0,C25H19ClN2O4,1411.1408029551906,2,0,0.6984126984126984,0.6984126984126984,0.822429906542056,0.822429906542056,0.8700567483901978,1,1.0,1.0,17.639635801315308
9,mol2mol,feature_selection,1,9,3.2953593730926514,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1cccc(N(C)C)c1,true,1,true,0,0.34087445826359203,0.0,6.0289000000000055,444.9620000000002,32,419.7620000000002,4,0,5,6,4,0,4,42.31,0.0,0,C27H25ClN2O2,1357.7001385881524,2,0,0.6935483870967742,0.6935483870967742,0.819047619047619,0.819047619047619,0.9177777767181396,1,1.0,1.0,17.639635801315308
