,SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,Name,sim_to_lead,final_score
0,N#Cc1cc(F)cc2nc(N)n(Cc3ccccc3Cl)c12,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.7794117647058824,2.9900364875793457,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0000,0.5125,0.5125
1,Cc1cccc(Cn2c(N)nc3cc(F)cc(C#N)c32)c1,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.6351351351351351,3.253870010375977,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0001,0.4578313253012048,0.4578313253012048
2,N#Cc1cc(F)cc2nc(N)n(Cc3ccccn3)c12,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.6527777777777778,3.5654525756835938,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccncc1', 231698)]",c1ccc2[nH]cnc2c1,43841,MOL0002,0.43373493975903615,0.43373493975903615
3,COc1cccc(Cn2c(N)nc3cc(F)cc(C#N)c32)c1,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.6103896103896104,3.571535110473633,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0003,0.4418604651162791,0.4418604651162791
4,N#Cc1cc(F)cc2nc(N)n(Cc3cccc(Cl)c3)c12,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.6351351351351351,3.687558889389038,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0004,0.44047619047619047,0.44047619047619047
5,Cc1ccc(Cn2c(N)nc3cc(F)cc(C#N)c32)cc1,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.6133333333333333,3.833301782608032,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0005,0.44047619047619047,0.44047619047619047
6,N#Cc1cc(F)cc2nc(N)n(Cc3ccccc3F)c12,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.7794117647058824,3.835038423538208,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0006,0.5125,0.5125
7,N#Cc1cc(F)cc2nc(N)n(Cc3ccccc3)c12,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.7,3.875711441040039,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0007,0.4875,0.4875
8,N#Cc1cc(F)cc2nc(N)n(Cc3c(F)cccc3F)c12,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.5974025974025974,3.9354665279388423,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0008,0.3977272727272727,0.3977272727272727
9,N#Cc1cc(F)cc2nc(N)n(Cc3cccc(C(F)(F)F)c3)c12,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.5802469135802469,3.986144542694092,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0009,0.4065934065934066,0.4065934065934066
10,COc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.7464788732394366,4.2784528732299805,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0010,0.5121951219512195,0.5121951219512195
11,Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,0.7794117647058824,4.363377094268799,sim,N#Cc1ccccc1Cn1c(N)nc2cc(F)cc(C#N)c21,"[('c1ccc2[nH]cnc2c1', 43841), ('c1ccccc1', 2260082)]",c1ccc2[nH]cnc2c1,43841,MOL0011,0.5512820512820513,0.5512820512820513
