SMILES,Input_SMILES,Tanimoto,NLL,prior,predecessor,ring_systems,min_ring,min_freq,sim_to_lead,final_score,HYBRID receptor title,HYBRID receptor filename,HYBRID Chemgauss4 score,Dock Type,ID,ROMol
Clc1cccc2[nH]c(NC3CCC3)nc12,Clc1cccc2[nH]c(NC3CC3)nc12,0.8863636363636364,3.1793909072875977,highsim,Clc1cccc2[nH]c(NC3CC3)nc12,"[('C1CCC1', 12595), ('c1ccc2[nH]cnc2c1', 43841)]",C1CCC1,12595,0.14130434782608695,14.409788,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.409788,Hybrid,MOL0034,<rdkit.Chem.rdchem.Mol object at 0x7f646f784e40>
FC(F)(F)CNc1nc2c(Br)cc(Cl)cc2[nH]1,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,0.7692307692307693,3.443453073501587,highsim,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16129032258064516,14.228184,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.228184,Hybrid,MOL0027,<rdkit.Chem.rdchem.Mol object at 0x7f646f786810>
Cc1c(F)cc2[nH]c(NC3CC3)nc2c1F,Fc1cc2nc(NC3CC3)[nH]c2cc1Cl,0.7142857142857143,3.4666786193847656,scaffold,Fc1cc2nc(NC3CC3)[nH]c2cc1Cl,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.13978494623655913,14.166321,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.166321,Hybrid,MOL0050,<rdkit.Chem.rdchem.Mol object at 0x7f63c6aea9d0>
FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,FC(F)(F)CNc1nc2c(Cl)c(Cl)c(Cl)cc2[nH]1,0.6785714285714286,4.69440221786499,sim,FC(F)(F)CNc1nc2c(Cl)c(Cl)c(Cl)cc2[nH]1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16129032258064516,14.106841,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.106841,Hybrid,MOL0016,<rdkit.Chem.rdchem.Mol object at 0x7f646a8753f0>
Fc1cc2nc(NC3CCC3)[nH]c2cc1Cl,Fc1cc2nc(NC3CC3)[nH]c2cc1Cl,0.8913043478260869,4.988913536071777,sim,Fc1cc2nc(NC3CC3)[nH]c2cc1Cl,"[('C1CCC1', 12595), ('c1ccc2[nH]cnc2c1', 43841)]",C1CCC1,12595,0.13829787234042554,14.011538,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.011538,Hybrid,MOL0018,<rdkit.Chem.rdchem.Mol object at 0x7f63c6ae9150>
CC(Nc1nc2c(Cl)cc(Cl)cc2[nH]1)C(F)(F)F,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,0.6785714285714286,4.394168376922607,highsim,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.14583333333333334,14.005926,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-14.005926,Hybrid,MOL0032,<rdkit.Chem.rdchem.Mol object at 0x7f646f785b60>
FC(c1nc2c(Br)cc(Br)cc2[nH]1)C(F)(F)F,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C(F)(F)F,0.7647058823529411,3.175966501235962,highsim,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C(F)(F)F,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.12631578947368421,13.980654,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-13.980654,Hybrid,MOL0033,<rdkit.Chem.rdchem.Mol object at 0x7f646f0baea0>
Fc1cc(Cl)c2nc(NCC(F)(F)F)[nH]c2c1,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,0.7692307692307693,4.422008514404297,highsim,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.16129032258064516,13.96727,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-13.96727,Hybrid,MOL0033,<rdkit.Chem.rdchem.Mol object at 0x7f646f786730>
OC(c1nc2c(Br)cc(Br)cc2[nH]1)C1CC1,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C(F)(F)F,0.5892857142857143,4.983309745788574,sim,OC(c1nc2c(Br)cc(Br)cc2[nH]1)C(F)(F)F,"[('c1ccc2[nH]cnc2c1', 43841), ('C1CC1', 70914)]",c1ccc2[nH]cnc2c1,43841,0.1276595744680851,13.951802,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-13.951802,Hybrid,MOL0018,<rdkit.Chem.rdchem.Mol object at 0x7f646f0bb370>
Cc1cc(Cl)c2nc(NCC(F)(F)F)[nH]c2c1,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,0.7692307692307693,4.790965557098389,highsim,FC(F)(F)CNc1nc2c(Cl)cc(Cl)cc2[nH]1,"[('c1ccc2[nH]cnc2c1', 43841)]",c1ccc2[nH]cnc2c1,43841,0.17391304347826086,13.933552,7_FRAG(AB) > MTA(A-802),data/docking/pairs/7_frag.oedu,-13.933552,Hybrid,MOL0034,<rdkit.Chem.rdchem.Mol object at 0x7f646f785fc0>
