Title	HYBRID Chemgauss4 score	Receptor Title
MOL0047	-11.695186	2QD9(A) > LGF(A-361)
MOL0075	-11.623260	2QD9(A) > LGF(A-361)
MOL0072	-11.568173	2QD9(A) > LGF(A-361)
MOL0074	-11.279999	2QD9(A) > LGF(A-361)
MOL0019	-11.235791	2QD9(A) > LGF(A-361)
MOL0015	-11.218809	2QD9(A) > LGF(A-361)
MOL0084	-10.899514	2QD9(A) > LGF(A-361)
MOL0080	-10.892630	2QD9(A) > LGF(A-361)
MOL0079	-10.838552	2QD9(A) > LGF(A-361)
MOL0095	-10.707373	2QD9(A) > LGF(A-361)
MOL0107	-10.649299	2QD9(A) > LGF(A-361)
MOL0086	-10.503060	2QD9(A) > LGF(A-361)
MOL0110	-10.253891	2QD9(A) > LGF(A-361)
MOL0006	-10.199160	2QD9(A) > LGF(A-361)
MOL0025	-9.938890	2QD9(A) > LGF(A-361)
MOL0063	-9.895005	2QD9(A) > LGF(A-361)
MOL0023	-9.815662	2QD9(A) > LGF(A-361)
MOL0094	-9.780188	2QD9(A) > LGF(A-361)
MOL0044	-9.721794	2QD9(A) > LGF(A-361)
MOL0102	-9.591699	2QD9(A) > LGF(A-361)
MOL0051	-9.534757	2QD9(A) > LGF(A-361)
MOL0106	-9.521564	2QD9(A) > LGF(A-361)
MOL0124	-9.512795	2QD9(A) > LGF(A-361)
MOL0033	-9.493465	2QD9(A) > LGF(A-361)
MOL0017	-9.419793	2QD9(A) > LGF(A-361)
MOL0022	-9.400809	2QD9(A) > LGF(A-361)
MOL0109	-9.317157	2QD9(A) > LGF(A-361)
MOL0083	-9.312138	2QD9(A) > LGF(A-361)
MOL0090	-9.273027	2QD9(A) > LGF(A-361)
MOL0031	-9.267539	2QD9(A) > LGF(A-361)
MOL0002	-9.097200	2QD9(A) > LGF(A-361)
MOL0070	-9.090710	2QD9(A) > LGF(A-361)
MOL0043	-9.076022	2QD9(A) > LGF(A-361)
MOL0001	-8.988272	2QD9(A) > LGF(A-361)
MOL0067	-8.936417	2QD9(A) > LGF(A-361)
MOL0089	-8.860823	2QD9(A) > LGF(A-361)
MOL0008	-8.750019	2QD9(A) > LGF(A-361)
MOL0021	-8.744171	2QD9(A) > LGF(A-361)
MOL0097	-8.613047	2QD9(A) > LGF(A-361)
MOL0098	-8.516535	2QD9(A) > LGF(A-361)
MOL0108	-8.440161	2QD9(A) > LGF(A-361)
MOL0111	-8.415316	2QD9(A) > LGF(A-361)
MOL0116	-8.310851	2QD9(A) > LGF(A-361)
MOL0055	-8.281135	2QD9(A) > LGF(A-361)
MOL0032	-8.194120	2QD9(A) > LGF(A-361)
MOL0052	-8.193662	2QD9(A) > LGF(A-361)
MOL0036	-8.133973	2QD9(A) > LGF(A-361)
MOL0057	-8.117857	2QD9(A) > LGF(A-361)
MOL0049	-8.010509	2QD9(A) > LGF(A-361)
MOL0018	-8.006298	2QD9(A) > LGF(A-361)
MOL0030	-7.871415	2QD9(A) > LGF(A-361)
MOL0007	-7.832364	2QD9(A) > LGF(A-361)
MOL0062	-7.791523	2QD9(A) > LGF(A-361)
MOL0081	-7.662765	2QD9(A) > LGF(A-361)
MOL0042	-7.599542	2QD9(A) > LGF(A-361)
MOL0004	-7.524755	2QD9(A) > LGF(A-361)
MOL0037	-7.499451	2QD9(A) > LGF(A-361)
MOL0088	-7.492458	2QD9(A) > LGF(A-361)
MOL0120	-7.481642	2QD9(A) > LGF(A-361)
MOL0096	-7.474761	2QD9(A) > LGF(A-361)
MOL0065	-7.469185	2QD9(A) > LGF(A-361)
MOL0059	-7.420420	2QD9(A) > LGF(A-361)
MOL0038	-7.412097	2QD9(A) > LGF(A-361)
MOL0071	-7.210719	2QD9(A) > LGF(A-361)
MOL0024	-7.012881	2QD9(A) > LGF(A-361)
MOL0073	-6.941429	2QD9(A) > LGF(A-361)
